Place_ID,Place_Name,User,Review,Star,Sentiment
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Barep Pratama,"Akhirnyaaaa bisa nulis review yang memuaskannn lagi...

Enakkk banget ikan bakarnyaa. Makanan semua oke. Sentuhan bumbunya lain dari pada yang lain.

Ibu Bapak lupa belum kenalan. Super ramah couple goals bisa haha hihi sampai menua bersama. Sehat selalu Bapak Ibu..

Janji dehhh bakalan balik lagi.

Sukaaa banget sama tempat dan masakan Ibunya.

Bule aja makan disini. Wisatawan lokal jangan mau kalah donggg...jelajahi terus wisata Indonesia.

Terima kasih bonus Tunanya Bu...sempat galau antara Kakap atau Tuna. Ahirnya malah bisa merasakan keduanyaa.",5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Luqman Heryana,"Cafe de paris
Terletak di timur pantai parangtritis dan akses dg jalan kaki dr parkiran terakhir.
Makanannya cukup banyak pilihan mulai dr seafood, sayur dan minuman.
Suasannya nyaman dan santai dengan banyak pilihan tempat duduk, ayunan, tempat tidur gantung serta gazebo. Konsep nya cafe pantai yg asik.
Harga nya murah untuk di tempat wisata

Worth it",5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Catharine Winata,"masakannya enak tp kecil2 sesuai dg harganya😊, pisang gorengnya mantap,  sambelnya mantap",4,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Dewi Pustaka,"Ownernya baik banget, nginep disini pas Ramadhan, pesan makanan untuk berbuka dan sahur.

Tempatnya dibibir pantai, tidur dengan deru ombak laut..

Anak2 senang, puas main pasir dan ada ayunannya.

MasyaAllah tempat nyaman harga aman di kantong.

Cuma rutenya agak susah, nek motor melewati sawah, tapi seruuu 😄",5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Kiki Melaendo,"Tempatnya bagus bgt, makanan enak dan cocok buat istirahat",5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Ibrohim Hanafi,"Makananan seafoodnya enak banget.
Sangat rekomendasi bila cari makanan khas pantai, bukan malah cari mie instan atau makanan biasa.
Suasana pantainya indah sekali, betah banget bila makan disini.

Memang perlu effort jalan kaki ke tempat ini (-+ 500 meter dari parkiran), effort itu terbayarkan dg suasana pantai yg asri jauh dari kebisingan polusi suara manusia dan mobil jeep serta makanan yg enak.",5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Siska Mirawati,Pinggir pantai murah meriah.. Enak.. Ada homestay nya juga dengan harga terjangkau juga.. Ibunya jg ramah banget 😍😍.. Kapan2 mau nginep sini ahh.. …,5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Erlina Wahyuni,Melukiskan suasana hati yang sulit dijelaskan,5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",rofiq r,"ini tempat langganan paling de best, tempatnya nyaman, makanan enak murah, pemiliknya ramah",5,
ChIJU39AYwyqey4RXFIG9IudN8M,""" Cafe de Paris "" Home Stay & Resto Seafood",Mugiyanto Alexsandi,"Kakapnya beda,,bawalnya beda,,dan,,recomendt bangeettss,,ca kangkungnya menarik",5,
