,Place_ID,Place_Name,cleaned_reviews
0,ChIJ-1OO3xhZei4RpiUw_jIlPBQ,TUGU LOR,berada di jalan am sangaji atau lebih tepat dari arah tugu sebelum hotel tenteram suasana khas langsung berasa pas turun tangga walaupun tepat di pinggir jalan akses utama tapi tetap dengan memberikan kesan intim dan konsep layout yang terbuka juga bikin tambah betah untuk spot tersedia indoor nyaman outdoor adem plus multifungsi mulai dari sekadar break minum kopi sampai berkumpul heboh juga bisa dan ada galeri cocok untuk spot foto di menu ada pilihan es kopian manual an beragam beans yang premium dan mesti di coba ada juga non kopi untuk pilihan sides dishes nya juga banyak siap untuk menemani minum kopi jangan lupa mampir yoyakarta salah satu rekomendasi kedai kopi buat kamu yang suka suasana rimbun oleh hijauan dedaunan sudah kayak jugle in the city hehe asri dan rindang alternatif healling dari riuh lalu lintas di diy meskipun sedikit ada suara lalu lintas kendaraan tapi tidak agakan kekganggu deh oleh suara kenlpot mber mber an hehe kalau minum kopi di sini serasa minum kopi dengan vibes taman ala perkotan gais bakal betah deh pasti oh ya jangan lupa coba kopi susu signature dari tugulor ya taste gula aren legit dan menagih benaran tidak bohong okey lanjut untuk area tempat nongkrong cukup flexible ya gaiss mau indoor no smoking area bar semi indoor atas dan outdoor sesuaikan dengan kebutuhan dan kondisi cuaca pasti tapi bakal asyik banget sih kalau nongkrong ramean bareng circle kalian ngoborol di area outdoorr sembari menikmati hijauan pepohonan peh syahdu tidak itu kafe ini berada diantara hotel yaitu hotel tenteram dan mustokoweni tampak kecil dari luar tetapi ternyata tempat luas memanjang ke dalam teduh dan adem karena ditanami banyak pepohonan untuk yang datang dengan mobil kemungkinan parkir agak kurang nyaman dan dipinggir jalan karena tempat parkir tidak luas pilihan menu makanan dan minuman lumayan beraneka ragam terakhir berkunjung saya dan temanteman saya memesan olahan nasi secara pribadi saya kurang suka dengan nasi karena masakan model pero kaku keras caffee yang berada di pusat kota tepat berada di utara pal tugu putih seperti nama dan selatan persis hotel tenteram di jalan am sangaji sebelah timur jalan untuk parkir motor cukup luas untuk parkir mobil terbatas dan di saat di bahu jalan kalau penuh dilihat dari luar bangunan kecil namun di dalam sangat luas dengan konsep outdoor turun tangga dulu untuk ke kasir dan pesan makanan harga relatif ya area indoor terbatas ya jadi disarankan datang waktu tidak hujan untuk nenikmati suasana pohon rindang dan teduh serta bangunan peninggalan kolonial belanda bangunan putih peninggalan belanda bisa dipakai namut kata untuk privat waktu datang hujan jadi susah cari tempat karena basah takut juga kalau tangga dan lantai bebatuan licin sambil mutermuter dulu di area belakang ada galeri batik dan bagian gedung ada tempat duduk juga tapi tidak bisa dipakai waktu itu tempat sejuk ditengah kota dan tidak terlalu mahal untuk mahasiswa ada live musik yang selalu meramaikan suasana makanan cukup enak dan minuman lengkap tempat parkir tidak terlalu luas dan agak sulit untuk mobil untung saja disediakan tukang parkir yang membantu keluar masuk really nice ambience sesungguh berasa kayak lagi nongkrong di kebun orang makanan enak penyajian cepat dan harga juga affordable tempat pas banget di samping hotel tenteram mungil begitu depan apalagi parkiran tapi tenang saja dalam luass kamar mandi bersih ada tempat salat juga sangat direkomendasikan untuk mereka yang mencari tempat mengobrol yang pewe adem dan sepi ️️ tempat kopi yang unik dan indah kayak lari ditengah kota kota jogjaberasa hutan dengan ditengahtengah ada vila atau condominium kopi ya lumyanharga juga lumyantp di sini berasa adem dan enakrindang banget berasa di kebun kopi tehkopi interior dan ekterior perpaduan antara jaman kolonial dan modern sambil diiringi musik berbagai genre sebaik kesini jangan sore munuju malamrame dan sesaktp kapasitas tempat duduk juga banyakseperti kalau malam lebih estetik lagi tempat ini tempat nya nyaman banget lokasi pinggir jalan tetapi tidak berisik terkesan homey dan memang tempat enak buat mengobrol ya untuk rasa kopi standar coffee shop biasa sih menu juga hampir sama untuk harga rata di atas ya recommended banget kalau mau ketemuan di tempat ini omelet cukup bisa dijadikan andalan beberapa kali coba rasa dan tekstur cukup stabil area indoor tidak sebanding dengan outdoor jadi misbar kalau gerimis bubar varian kopi cukup banyak untuk rasa dan sajian standart ambience sejuk dan nyaman meskipun agak bising karena persis di painggir jalan raya jogjafoodstock kulinerjogja kulineryogya jogjahits kulinerjogjahits kulinernusantara yogyamakan jogjamakan makanjogja makanyogya reviewkuliner makandijogja voilajogja riderskulineran jogjastreetfood jogjafoodhunter kulinerkekinian jajankekinian kulinerlegendaris makananviral komentarkuliner makandijogja kuliner ngopidijogja kulinerbaru ambience hutan banget adem tenang sejuk asli cocok banget buat berkumpul atau nugas buat lari dari kenyataan juga boleh by the way aku suka banget nasi goreng nanti ke sini lagi bakal memesan yang sama seperti kopi enak minuman tradisional juga endess patut dicoba yang jadi daya tarik itu benar ambience kayak hutan tropis banget plus ada sentuhan estetik dari desain outdoor yang tradisional suka melayani cashless payment fasilitas lengkap parkir tersedia boleh reservasi juga buat kumpul toilet juga bersih java kafein request manis sedikit ternyata rasa enak banget perpaduan gue jawa dan kopi dan susu pas untuk dimsum dan kare sedikit asin tapi okelah curos enak garing luar dalam lembut ambience syahdu tapi kalau malam hatihati nyamuk ya sama semut angrang kalau di bawah pohon tempat salat ada alhamdulillah meskipun tidak yang bersih banget seenggak cukup bersih dan teratur pelayanan dari tukang parkir sampai yang operasional cafe baik semua nice pokok tempat adem asri dan makanan enak kopi juga enak saran sih buat yang datang dengan pakaian pendek semprotoles anti serangga dulu berasa dalam hutan mini ya wajar banyak serangga gallery batik juga cantik kalau ke yoyakarta lagi bakal sempatin datang lagi seru banget vibes nya kayak jawa and fairytale begitu hehe aku pesan coffee yang ada bunga telang rasa ya kayak kopi susu biasa karena bunga telang nya kalah lite banget kan ya rasa nasi goreng ya saja tetapi boleh lah tidak ada gambar mon maaf would comeback soon sih asli hijau hijau sepi nyegerin begitu tempat um mungkin kemarin agak tidak asyik sama kasir sih karena ketutup plastik itu jadi suara mbak nua kecil banget agak miss miss waktu pesan but it’ ok overal good kok🫶 tempat luas nyaman dan sejuk banyak pepohonan tempat duduk kebanyakan diarea outdoor minus kalau hujan saja mungkin untuk makanan standard sih overall nice place lah ini salah satu coffeeshop dengan konsep unik seperti berada di taman yang banyak pepohonan besar dan rindang bangunan pun klasik khas jawa ada indoor dan outdoor waktu kesini pesan butterfly peang tea perpaduan rasa manis asam dan segar membuat ini minuman pu citrarasa yang unik tempat benerbener asri karena banyak pepohonan dan bernuansa klasik juga tempat cukup mudah di cari di sebelah hotel tenteram selain itu ada butik jual batik tulis juga bagus makanan cukup enak juga dan yang rancabali juga lumayan enak sering ke yoyakarta baru kali ini menemukan cafe di tengah kota tetapi sejuk tidak kalau dengan suara pedesaan bikin nyaman instgramable banget buat km yang suka foro” didalam ada butik batik juga jamin betah minum kopi di sini baru tau ada tempat yang teduh dan suasana enak di tengah kota yoyakarta buat yang ingin cari suasana minum tehkopi di bawah pohon rindang bisa jadi solusi sih hehe meskipun di pinggir jalan tapi tidak begitu berisik sayang tempat parkir kecil jadi kalau ramai agak susah parkir
1,ChIJ-2etA9ABey4RU42x6nFD9WU,Angkringan Baniyah & Gaza Barbershop,tempat nya asyik tempat nyaman mantap
2,ChIJ-7bqq6lXei4RhCzUxYM12Yg,Angkringan Pak Sugeng,lumayan cukup komplit sesuai kantong di masa pandemi tempat nongki sehabis ronda sambil minum kopi main karambol endees
3,ChIJ-S-FxAZbei4Rdf1ECy_-xNE,Bilbil Juice Aneka jus buah,langganan banget jus buah tidak abal rasa harga standar penjual ramah rasa mantap harga wajar standar
4,ChIJ-UhWzNZbei4Rd1P09xwuUY0,Es Coklat Bon@ng.262 Prambanan,coklat enak manis pas dan berasa asli coklat roti bakar dan roti bulet gurih dan tempat bersih recommended good banget coklatnyaa tidak pakai bohong … air nya enak kayak ada manis nya begitu pelayanan juga ramah tempat bersih proses pengisian juga sangat steril jadi minuman setiap saat bersih sehat siap antar ketika anda pesan enak
5,ChIJ-VZXtXdZei4R87hWiz5QC3A,Capcuzz Condongcatur,es segar paling suka tambah cincau seblak enak baru pertama kali mencoba seblak nya enak dan rasa pas tetapi kuah dan sayur kurang banyak … capcuz dan seblak enak minus parkir saja kecil dan suka macet jalan depan area ramai kendaraan overall tempat jajan enak deh diedit februari the best capcin seblak ever saya salut karena sejak saya jajan capcuzz di tengah gempuran tren minuman kekinian yang selalu berubah capcuzz tetap bertahan dengan ciri khas melakukan improvisasi yang baik mulai dari pilihan kemasan medium large gambar plastic seal yang sudah ada logo dan beli di cabang manapun rasa minuman hampir selalu konsisten lokasi ini cabang sebelum di dekat pamella sekarang pindah ke jalan ringin raya di jejeran lapak kuliner tempat ha bisa take away disediakan beberapa kursi plastik untuk menunggu menu favorit saya tetap capcuzz basic coklat legend sekarang ada pilihan topping boba juga tapi saya selalu timcincau seblak enak bisa ekstra sayur untuk harga porsi itu banyak harga really worth the price dengan metode pembayaran beragam cash qris atau ewallet pelayanan cepat ramah minuman terbaik belum tergantikan seblak mantap enak dari pada yang lain cappucino cincau bikin ketagihan cuma tempat kurang rapi star kalau suasana nyaman pu cirkhas tersendiri tentang rasa kalau makan ditempat kurang pas interior agak panas juga pelayanan oke seblak enak sih tapi kuah kurang terus warna juga terlalu pucat kakak … menu banyak dan harga terjangkau enak tapi agak lama saja pembuatan murah juga dibandingin sama minuman lain yang lagi mengetren harga murah meriah banget porsi jumbo nongkrong di sini tidak bikin bosan kok harga murah meriah pas dikantong … lava green enak banget buat yang suka green tea mantap joss rasa capcuzz dan seblakcuzz mantap di luar ekspetasi saya bikin menagih pokok untuk kebersihan lumayan tetapi masalah parkir belum tercukupi minuman enak dan segar
6,ChIJ-XQW5GRZei4Rqo3-9FJkZ34,Angkringan pitulikur tugu jogja,enak buat nongkrong
7,ChIJ-YSIVXJXei4RruOW9y8zbV4,BAGEUR HAUSE,bagus recommended banget
8,ChIJ-YsB5eJaei4R4u9P73I8J3E,Warung Makan,kuliner maniac this place is for kamu gudeg nya nice banget ayam nya lembut and sok tasty cecek nya juga aduhai tempat memang agak masuk ke gang cuma ini worth it buka pukul and recommend datang di jam buka around biar tidak antre panjang buka mulai pukul sore cocok untuk yang mau makan gudeg tapi tidak terlalu manis terdapat pilihan lauk seperti telur dan ayam dan tentu gudeg krecek untuk minum tersedia wedang uwuh teh gula batu jeruk banyak pengunjung namun tempat yang tersediapun juga cukup luas buat yang senang sama gudeg yang asli yoyakarta ini tidak rekom sih lebih seperti gudeg untuk orang jawa timuran yang tidak terlalu suka manis untuk ayam lebih seperti opor sih rasa menurutku tempat di gang kalau mencari parkir mobil juga agak susah saran kalau mau kesini jam sudah sampai karena antre banget cocok untuk yang mau kuliner gudeg tetapi tidak suka manis waktu saya datang antrian lumayan panjang jadi waktu giliran saya ayam tanggal kepala masih untung ada sayap yang terselip untuk lokasi masuk gang saya pesan pakai sayap ayam ayam empuk dan bumbu enak untuk harga makanan bervariasi tergantung pilihan menu penjual ramah pertahankan ya pak cita rasa masakan gudeg ini cocok untuk yang tidak terlalu suka manis rasa biasa saja menurut saya karena saya pencinta gudeg manis mungkin kalau ada sambal bisa lebih nikmat makan di sini buka mulai pukul antre lumayan panjang tempat duduk terbatas yang unik dari tempat ini adalah saat antre pesan gudeg langsung di dapur aroma kayu bakar sangat membuat nostalgia kampung halaman ke sini jam an karena takut susah parkir dan ramai jam buka jam masuk ke dapur dan pilih lauk sendiri rasa enak karena tidak manis saya bukan pemggemar gudeg manis jadi pas makan ini berasa ting ini yang kumau hehe lokasi mudah ditemukan meskipun jalan kecil di depan lokasi sudah ada tukang parkir yang membantu memarkirkan mobil tarif parkiran sebaik anda datang pukul untuk menghindari antrean dan kehabisan rasa cukup enak lauk pun lengkap sistem makan dulu baru bayar harga bisa dibilang mahal namun tidak ada salah mencoba menikmati gudeg di suasana pawon perjuangan banget makan di sini akses jalan kecil dan bingung mau parkir mobil sampai dilokasi ternyata ramai parah sampai antre panjang tetapi terbayarkan dengan rasa makanan yang enak banget recomended untuk yang ke yoyakarta cari gudeg enak ini gudeg enak pol ayam lembut krecek sedep dan rasa gudeg tidak terlalu manis kayak gudeg yoyakarta pada umum baik datang pas jam buka biar tidak antre panjang dan masih kebagian lauk gudek paling mantap dan paling pas dilihat dinikmati malam pas banget sekarang sudah ganti jam buka jam buka mulai dari sekolah dasar habis rasa nya mantap ngantre di dapur bikin suasana kampung banget jadi ingat masa kecil di rumah simbah masak nya masih pak cara tradisional sehingga menciptakan masakan yang otentik top nya salah satu tujuan ke yoyakarta adalah makan gudeg pawon ini kangen banget buka sekarang jam sore saya sampai di tempat kejadian perkara jam kurang menunggu beberapa menit sudah buka kangen pun terobati … kalau untuk gudeg ini salah satu yang mesti dicoba karena nama gudeg pawon jadi jualan benaran di dalam pawon dapur sebelum buka harus sudah mengantre kalau tidak mau kehabisan dari segi rasa ini enak tidak terlalu manisbisa request yang berkuah juga gudeg enak cuma saran saja buat penjual kalau antre ya benar antre jangan orang antre begitu giliran ambil makanan jadi bertambah orang kami kan juga ikutan berdiri antre jadi hargai dong terus ada lagi satu om sok dekat sok akrab sama penjual tiba menyelonong saja seenaknua menambah makanan jadi saya harus menunggu lagi gudeg enak terutama krecek saya cocok suasana santai walaupun cuma lesehan di teras saja makan harga fair lah pakai ayam jalan masuk agak kecil jadi hati yang pakai mobil agak besar pertama kali datang ke sana dan kebetulan belum buka jadi harus menunggu cukup lama pengunjung cukup banyak sementara tempat duduk ha sedikit sehingga harus berdempetan lokasi tempat gudeg ini di jalan yang tidak terlalu besar dan masuk lagi ke gang terhalang sama warung di pinggir jalan bangunan sangat sederhana tidak ada tatanan seperti ada yang jualan ha rumah jaman dulu dan begitu pintu dibuka langsung ada pawon jaman dulu ada tungkuhawu dan ada meja yang berisi makanan ruangan tersebut agak gelap dan terkesan kembali ke jaman dulu dimana ada tungku yang sedang dipakai masak pembeli antre untuk memesan makanan dan setiap pembeli akan dilayani langsung oleh seorang bapak jenis makanan yang tersedia ada gudeg ayam krecek tempe tahu telur dan lain lain boleh dicoba meskipun tempat agak tersembunyi tapi selalu ramai pengunjung rasa pas di lidah tidak terlalu manis harga wajarbuka jam kita langsung di dapurpawon untuk menikmati gudeg ada lauk telur krecek dan opor ayam kampung lokasi masuk pemukiman parkir bisa agak mepet langsung ke pawon saja pesan menu gudeg nya mak hebat krecek legit menggigit ayam kampung empuk nasi nya masih di atas luweng aroma khas datang ke tempat mepet jam tutup alhamdulillah masih rejeki gudeg enak mantaabb cocok di lidah orang jawa timur yang tidak begitu suka masakan manis pelayanan ramah menambah nasi dikasih gratis recomended banget … trip gudeg pawon rekomendasi kuliner malam di yoyakarta buka jam sore sampai habis butuh sewa mobil dan sopir wa datang sebelum magrib tidak begitu ramaiantrian normal meski jalanan sempit tukang parkir sigap membantu ini tipe gudeg basah dan tidak begitu manis ayam dan krecek juga basah rombongan porsi plus minum dan kerupuk habis juli tempat jualanny nuansa dapur… penjualny ramah… in my opinion makanan rasa enak cocok dilidah rasa gurih tidak tll manis sambal krecekny pedes pas untung pas kesini weekday tidak antre panjang ha untuk parkir agak sulit karena berada di jalan yang tidak tll lebar yang tidak suka antre bisa di order di gofood atau grabfood
9,ChIJ-dg2e55bei4R2NFzQbFGu80,omah salon,direkomendasikan teman sudah lama tapi baru eksekusi sekarang karena badan sudah butuh perawatan mbak admin ramah dan gerak cepat setiap saya berta promo bulan itu biasa langsung dibalas letak di dalam perumahan dan bentuk seperti rumah yang terdiri dari kamarkamar perawatan janjian dulu bisa atau langsung datang di handle satu terapis sampai selesai perawatan karena baru sekali saya cuma bisa kasih review satu terapis mbak ramah dan menjaga banget privasi pelanggan saat masuk kita bisa ke meja kasir dulu untuk order perawatan apa ada yang satuan misal facial saja atau paketan promo bulanan sebelum perawatan dikasih kemben ganti sama cover celana dalam biar tidak kotor saat perawatan kalau saya ambil paket facial wardahmassage menitscrub kopi ribu selama jam lebih saya sudah lama tidak ekstraksi komedo jadi sakit semua bahan pakai wardah yang halal untuk kebisingan karena masih di perkampungan srawung masih kentara yang tidak suka suasana ramai karena pegawai ceritaan mungkin ini tidak cocok tapi pas massage privasi terjaga tidak bising pas di ruang facial enak pijetan apalagi scrub kopi mandi bisa pakai air angetdingin ada sabun mandi dipinjemin handuk juga alhamdulillah akhir ketemu juga tempat perawatan yang aman nyaman ramahharga terjangkau tempat luas bersih buat yang bawa anak kecil recommended banget deh bikin anak tidak bosan menunggu bunda perawatan harga terjangkau cukup nyaman service juga ramah paling suka treatment massage potongpun enggak perlu janjian terlalu lama karena pegawai khusus potong rambut selalu ada tapi untuk treatment yang lain selain potong nampak memang harus janjian biar tidak bertabrakan dengan treatment customer lain ruang tamu untuk menunggu juga cukup nyaman meskipun menurut saya kurang terang lampu karena tadi sore dimatikan jadi agak remangremabg untuk kebersihan baju alas dan bed sudah cukup bersih meskipun standar tapi menurut saya memang sesuai dengan harga dan kelas oh iya di sini owner pu program perawatan gratis untuk dhuafa lanjut usia tentu muslimah dan ini salah satu proyek sosial salut untuk manajemen semoga lebih baik ke depan salon bagus pernah spa di sini pijetan enak cuma waktu pesen jam tapi seperti pelayanan cuma sekitar menitantrs mbak ramah tetapi kok agak sedikit lumayan bagaimana mak saya allah pengalaman pertama berkunjung di omah mila sangat memuaskan saya mendapat sambutan hangat dan sangat bersahabat baik dari pemilik maupun terapis pelayanan sangat baik sumber daya manusia nya sangat memperhatikan kualitas layanan suasana juga sangat nyaman layak di rumah sendiri semoga makin sukses untuk omah mila … salon ini terletak di dalam perumahan khusus melayani customer perempuan harga standar karena ditangani demgan profesional dan ada hair stylish nya jadi kalau kalian bercadar salon ini bisa jadi pilihan untuk merawat rambut dan badan sangat nyaman dan aman untuk perempuan yang tertutup dan memperhatikan kenyamanan pelanggan pelayanan juga baik dan ramah sangat rekomended untuk yang lagi mencari salon muslimah dengan kualitas tempat dan pelayanan yang baik pengalaman pertama berkunjung ke omah milla sangat baik pelayanan selain itu harga juga terjangkau walaupun tempat masuk ke kawasan perumahan tetapi tidak mengurangi kualitas pelayanan malahan suasana tenang dan nyaman jadi ini salon dan rumah spa yang bentuk memang rumah jadi misal baru pertama kali berkunjung langsung masuk saja ke perumahan dan nanti ada plakat masuk tidak jauh dari gardu perum sekitar fix pelayanan nya excellent karyawan ramah banget sopan suasana berkelas bersih rapi cantik peralatan lengkap harga terjangkau spa di sini dapat minuman hangat dan camilan puas banget … ini dia tempat strategis untuk merawat dan memanjakan diri khusus muslimah jadi aman dari lawan jenis banyak promo yang ditawarkan dan kadang kadang kita ke sana sehat badan nyaman bisa sambil sedekah hem menu favoritku pijit lulur dan totok wajah lain kali khusus merawat rambut ah salon muslimah pelayanan bagus sekali next time bakal balik lagi alhamdulillah nyaman untuk salon dan spa tidak bising karena masuk perum pelayanan oke mak shaa allah sangat nyaman ramah bersih recommended mbak ramah dan welcome banget apalagi ada promo juga sering sering cek promo terbaru saja oke banget alhamdulillah menemukan juga salon yang homie banget buat muslimah tanpa takut ada cowok masuk terima kasih mbak milla dan tim nya … salon muslimah daerah selatan yang pewee banget suasana nyegerin bikin ingin tiduran mulu mbak juga baik memberi tau ini itu yang bener bagaimana pelayanan ramah tempat juga menyenangkan sekali enak kok tempet nya karyawan juga ramah bisa meminta dibuatin teh atau air putih pokok nya mantap betul pernah mengantar istri ke omah milla pelayanan oke pemilik juga dermawan … tempat rapi bersih ya mbak juga ramah enak diajak mengobrol … istri pernah nyalon di sini puas dengan pelayanan nya banyak paket perawatan tiap bulan ada saja promo pijetan enak banget super friendly staf and manajemen … owner dan kapster ramah hasil cutting cocok meong
